metabolite,state,time_point,qs,std_err,err_perc,ub,lb
Glutamine,LP_TR,4,-0.04699522802997921,0.007528899231634501,-0.16020561123422283,-0.039466328798344705,-0.05452412726161371
Glutamine,LP_TR,24,-0.014582325079904984,0.0019397522153417612,-0.13302077718832478,-0.012642572864563223,-0.016522077295246747
Glutamine,LP_TR,48,-0.005364847360760551,7.78424868428891e-4,-0.14509730027408219,-0.0045864224923316595,-0.006143272229189442
Glutamine,LP_TR,72,-0.0020146315132369644,4.529089847389004e-4,-0.22480983830695617,-0.001561722528498064,-0.002467540497975865
Glutamine,LP_MO,4,-0.04504197530735533,0.01161528637434889,-0.2578769313532331,-0.03342668893300644,-0.056657261681704214
Glutamine,LP_MO,24,-0.013756376935420868,0.0024590566810783086,-0.17875758221967297,-0.01129732025434256,-0.016215433616499176
Glutamine,LP_MO,48,-0.005202699184331449,8.1360714013289e-4,-0.1563817378838979,-0.0043890920441985596,-0.006016306324464339
Glutamine,LP_MO,72,-0.0018761755759171552,4.813982896754952e-4,-0.256584882489032,-0.00139477728624166,-0.0023575738655926505
Histidine,HP_TR,4,-0.001764844440592475,2.18284303360703e-4,-0.12368472729949098,-0.0015465601372317722,-0.001983128743953178
Histidine,HP_TR,24,-9.998443319406997e-4,1.2074394399699485e-4,-0.1207627428988177,-8.791003879437049e-4,-0.0011205882759376946
Histidine,HP_TR,48,-6.823798516263617e-4,5.803855979422787e-5,-0.08505315574001882,-6.243412918321338e-4,-7.404184114205895e-4
Histidine,HP_TR,72,-5.243311343987033e-4,3.4270689984246884e-5,-0.06536077630321935,-4.900604444144564e-4,-5.586018243829502e-4
Histidine,HP_MO,4,-0.001991837992452459,2.531464849121981e-4,-0.12709190500001982,-0.0017386915075402608,-0.002244984477364657
Histidine,HP_MO,24,-9.526401935846521e-4,9.99831174556914e-5,-0.10495370458753044,-8.526570761289607e-4,-0.0010526233110403436
Histidine,HP_MO,48,-6.155381222920655e-4,4.4445658118960796e-5,-0.0722061827031273,-5.710924641731047e-4,-6.599837804110262e-4
Histidine,HP_MO,72,-4.647026968120017e-4,2.6343877675310604e-5,-0.056689745628844886,-4.383588191366911e-4,-4.910465744873123e-4
Histidine,LP_TR,4,-0.0015497557136650083,2.251375865747613e-4,-0.14527295146557953,-0.001324618127090247,-0.0017748933002397695
Histidine,LP_TR,24,-8.782323619650463e-4,1.238798246991797e-4,-0.1410558641018402,-7.543525372658666e-4,-0.001002112186664226
Histidine,LP_TR,48,-5.726311326737109e-4,6.0646753754498706e-5,-0.10590893560280042,-5.119843789192121e-4,-6.332778864282096e-4
Histidine,LP_TR,72,-4.216183399486062e-4,3.3916237110706807e-5,-0.08044298337411289,-3.877021028378994e-4,-4.5553457705931305e-4
Histidine,LP_MO,4,-0.001469716109409821,3.98305162430649e-4,-0.27100823069197516,-0.001071410946979172,-0.0018680212718404701
Histidine,LP_MO,24,-8.531358329926733e-4,1.7437801845597597e-4,-0.2043965470824076,-6.787578145366973e-4,-0.0010275138514486493
Histidine,LP_MO,48,-6.123471329224016e-4,7.483773692652229e-5,-0.12221456246453259,-5.375093959958792e-4,-6.871848698489239e-4
Histidine,LP_MO,72,-4.694834358090944e-4,4.62871680187469e-5,-0.09859169565583695,-4.231962677903475e-4,-5.157706038278413e-4
Isoleucine,HP_TR,4,-0.010862073253730495,0.0010669108928662648,-0.09822350374039712,-0.00979516236086423,-0.01192898414659676
Isoleucine,HP_TR,24,-0.004733159898877878,4.8172663771099694e-4,-0.10177696253726883,-0.004251433261166881,-0.005214886536588875
Isoleucine,HP_TR,48,-0.0023575448960863063,1.6280115672158166e-4,-0.06905537917510851,-0.0021947437393647247,-0.002520346052807888
Isoleucine,HP_TR,72,-0.0013220698859238204,7.955074551891578e-5,-0.060171361866644624,-0.0012425191404049046,-0.0014016206314427361
